ID	States_number	Prod_of_ZEB1	Prod_of_miR200	Prod_of_PDL1	Prod_of_CDH1	Prod_of_SLUG	Deg_of_ZEB1	Deg_of_miR200	Deg_of_PDL1	Deg_of_CDH1	Deg_of_SLUG	Trd_of_miR200ToZEB1	Num_of_miR200ToZEB1	Inh_of_miR200ToZEB1	Trd_of_ZEB1ToZEB1	Num_of_ZEB1ToZEB1	Act_of_ZEB1ToZEB1	Trd_of_CDH1ToZEB1	Num_of_CDH1ToZEB1	Inh_of_CDH1ToZEB1	Trd_of_SLUGToZEB1	Num_of_SLUGToZEB1	Act_of_SLUGToZEB1	Trd_of_ZEB1TomiR200	Num_of_ZEB1TomiR200	Inh_of_ZEB1TomiR200	Trd_of_SLUGTomiR200	Num_of_SLUGTomiR200	Inh_of_SLUGTomiR200	Trd_of_miR200ToPDL1	Num_of_miR200ToPDL1	Inh_of_miR200ToPDL1	Trd_of_PDL1ToCDH1	Num_of_PDL1ToCDH1	Inh_of_PDL1ToCDH1	Trd_of_ZEB1ToCDH1	Num_of_ZEB1ToCDH1	Inh_of_ZEB1ToCDH1	Trd_of_SLUGToCDH1	Num_of_SLUGToCDH1	Inh_of_SLUGToCDH1	Trd_of_miR200ToSLUG	Num_of_miR200ToSLUG	Inh_of_miR200ToSLUG	Trd_of_SLUGToSLUG	Num_of_SLUGToSLUG	Act_of_SLUGToSLUG
1	2	45.020691	28.038323	21.809473	73.377936	56.03266	0.342756	0.394361	0.395737	0.799447	0.648428	9.808962	3	0.161684	1.349563	5	33.852364	2.852426	4	0.174401	6.74184	2	72.555598	1.290665	3	0.013152	3.553665	4	0.024793	3.693163	6	0.017462	13.343554	2	0.091853	0.106027	3	0.018991	15.931325	3	0.011161	7.757876	1	0.052308	10.558772	4	80.011943
4	3	74.423865	32.174559	33.902096	14.897327	19.450611	0.310404	0.878364	0.917982	0.163234	0.247386	10.301205	4	0.017307	0.606971	1	62.902564	3.225631	2	0.018456	13.227107	2	45.908092	0.591984	6	0.037342	4.683957	2	0.023382	10.071669	1	0.013517	22.703626	6	0.037293	0.593965	6	0.013006	17.072493	2	0.051623	10.218919	4	0.294201	9.433544	3	98.576608
6	3	97.120973	44.85985	16.380497	67.407722	48.709751	0.971496	0.251073	0.347756	0.65568	0.659114	13.557271	6	0.01402	0.805553	3	66.159904	2.822664	6	0.014609	7.898507	3	10.805121	1.129549	6	0.014313	12.304235	6	0.010298	2.896026	4	0.017467	16.983282	6	0.015695	0.684737	2	0.050835	2.341039	2	0.054154	10.541508	5	0.011139	14.245253	5	60.010738
7	3	83.21301	32.740287	35.992637	41.369659	48.562062	0.823467	0.338256	0.235528	0.216328	0.402812	11.12417	4	0.041603	0.745668	6	93.241026	2.074829	2	0.079963	14.26277	5	83.242993	0.846717	6	0.012056	0.518468	3	0.016912	0.44241	6	0.028017	52.892959	6	0.029376	1.199579	3	0.027758	6.11188	1	0.04993	12.466528	2	0.014165	10.273739	6	72.093701
10	3	48.112173	54.174861	60.513382	18.674305	67.499726	0.255097	0.282083	0.693864	0.372273	0.858972	8.831607	4	0.022137	1.326888	5	51.609355	0.679665	1	0.02762	10.045964	5	37.493224	1.531599	5	0.034162	7.024657	6	0.126045	1.114558	1	0.015505	35.288875	1	0.018234	1.080297	1	0.010617	3.732646	1	0.026537	12.207073	2	0.027365	2.133555	4	31.239829
24	3	4.076255	96.648987	33.796587	42.962712	49.335342	0.284298	0.950718	0.845689	0.647762	0.662875	0.616509	5	0.039757	1.443986	4	83.505829	0.507477	6	0.016789	2.989232	1	88.431267	0.208356	6	0.015662	10.970857	3	0.011923	11.590103	4	0.017887	9.266967	2	0.061345	0.464941	6	0.01278	5.399586	3	0.034964	4.314776	3	0.010754	13.148586	2	92.932988
36	3	55.058274	47.561291	48.270041	41.941371	31.941774	0.485162	0.774407	0.689371	0.236028	0.841382	2.319223	1	0.016671	0.441054	6	75.146656	3.004554	2	0.032026	8.106874	1	54.508285	0.358488	2	0.035641	0.339915	5	0.33815	12.962425	3	0.01294	44.680791	1	0.138257	0.575839	2	0.022905	5.753346	3	0.010916	3.532281	3	0.010439	17.908349	3	36.273668
42	3	20.79739	97.107997	93.865697	11.259281	31.184803	0.908215	0.299549	0.205544	0.332747	0.241439	7.245124	6	0.016646	1.527422	4	3.294969	0.3771	2	0.011817	7.959932	2	40.043729	0.171847	4	0.01122	16.208877	6	0.025836	0.371573	2	0.013468	19.57899	6	0.016765	0.456835	5	0.541278	6.355485	1	0.019663	11.157494	2	0.058318	0.921895	1	32.496987
46	3	15.83225	89.105195	33.435248	98.249989	55.15764	0.846067	0.455827	0.563646	0.634518	0.210347	4.254787	1	0.017836	1.050624	3	20.885222	1.848342	4	0.011855	13.397358	3	18.172683	0.913373	4	0.017122	8.952648	3	0.025756	1.421036	6	0.016443	53.889395	6	0.043818	0.15602	1	0.012182	15.655733	6	0.048496	11.077404	6	0.018019	4.548136	4	4.019401
58	3	99.488921	48.105867	29.989003	90.863269	64.372341	0.940489	0.934915	0.490823	0.174049	0.524499	3.317189	1	0.029653	0.85945800000000006	4	51.811603	0.52142	2	0.025549	3.815492	5	7.742699	1.112913	1	0.011206	0.734516	2	0.023807	1.018878	3	0.073966	35.9816	4	0.017902	0.233375	4	0.018497	15.780836	6	0.015659	9.698497	3	0.010779	18.136386	1	81.46803
64	3	37.275601	67.178743	17.418971	49.015637	46.04347	0.937458	0.870424	0.351797	0.758409	0.281704	10.048677	5	0.013585	0.55414	5	77.971956	3.514372	2	0.015064	2.276373	3	28.656199	0.987451	6	0.014597	1.470441	3	0.041769	3.621227	4	0.010282	1.460115	6	0.014338	0.189023	6	0.012743	0.280485	6	0.015146	5.25353	4	0.038494	10.574266	6	67.595782
73	3	5.890449	72.972029	74.534766	76.535593	19.03104	0.916	0.576165	0.262937	0.841224	0.106897	2.946775	6	0.014342	1.574921	6	71.412658	3.567363	4	0.01005	9.663026	5	1.671383	1.474409	4	0.025417	4.980271	3	0.017704	1.366941	2	0.019191	39.290773	1	0.017409	0.843591	6	0.032051	6.80837	6	0.034291	9.436141	5	0.021106	17.272825	5	5.482807
83	3	54.396694	20.241941	62.285029	93.330304	24.779186	0.697085	0.858961	0.997635	0.708003	0.982208	4.498974	4	0.021101	0.400444	4	15.462916	1.748886	4	0.014056	12.960005	3	12.96771	0.41589	2	0.096485	6.360299	6	0.064584	9.995195	1	0.012117	34.243278	1	0.022667	1.538644	6	0.011466	17.589117	5	0.014327	5.978171	6	0.056394	11.184813	1	42.616479
88	3	47.310747	98.550482	81.74205	89.120202	45.349377	0.622681	0.757277	0.227752	0.467955	0.803103	13.491167	1	0.035	1.102261	1	8.511587	2.959615	2	0.127042	15.968035	4	6.697786	0.122255	6	0.017576	10.11206	2	0.236887	2.557192	2	0.021139	43.748751	5	0.013446	1.020686	5	0.010138	3.855106	5	0.192663	1.734463	6	0.72644	14.021939	4	86.335509
93	3	97.392279	23.134104	66.298377	17.548352	53.301163	0.522424	0.534235	0.263033	0.889926	0.902365	7.166677	5	0.01457	1.255099	3	99.341141	1.627818	6	0.016663	2.14654	6	44.464557	1.125212	5	0.012072	9.215289	1	0.017154	13.30554	5	0.012825	8.196236	2	0.020938	1.220994	1	0.583583	7.322698	2	0.035486	9.489491	6	0.1485	6.416176	5	59.397613
95	3	98.803861	33.832279	23.704844	4.768073	7.873986	0.617755	0.236755	0.950084	0.702346	0.226376	7.943913	5	0.010712	0.990996	5	66.553918	3.486325	3	0.027815	12.67284	5	22.536435	1.594634	4	0.022459	14.023715	5	0.010302	7.101731	2	0.018164	4.613572	6	0.150711	0.994993	3	0.081194	12.236459	1	0.010503	12.531594	5	0.021662	4.04414	6	75.753195
99	3	66.397612	81.70872	10.694384	48.79448	44.784374	0.688914	0.462068	0.997148	0.41874	0.766447	9.665134	3	0.067937	0.597106	6	75.605365	0.263489	2	0.014172	4.292936	5	83.482692	0.335517	1	0.025361	10.144463	4	0.010158	0.56979900000000006	2	0.011452	44.255293	5	0.015835	0.360549	4	0.012077	15.434436	1	0.146005	6.487226	4	0.086135	2.962893	4	30.397178
103	3	48.469754	1.937148	69.30396	16.136828	44.411767	0.871886	0.312144	0.378971	0.870686	0.567036	6.63256	6	0.010106	1.363894	4	97.794481	1.994681	3	0.016701	3.237975	3	53.967399	1.431589	3	0.033564	1.413118	5	0.015199	12.63912	3	0.010489	40.446103	5	0.049266	0.748213	2	0.018547	4.110365	4	0.100475	9.172646	6	0.017309	15.587168	6	62.768243
107	3	44.698344	42.623411	42.517098	25.021972	80.128948	0.218074	0.2774	0.685971	0.579793	0.552322	12.391325	4	0.01103	0.792447	3	14.620129	1.771138	5	0.019624	5.174284	5	33.895571	1.298692	6	0.019016	17.719666	1	0.010713	6.397648	6	0.013519	19.636116	4	0.012661	1.210707	1	0.013384	12.559978	6	0.027138	1.364166	3	0.092025	4.61729	2	48.087331
129	3	83.440483	5.549303	97.836185	77.313096	99.083417	0.476993	0.994652	0.773958	0.78182	0.86996	3.212901	5	0.011742	1.27466	1	57.645734	3.354495	3	0.014201	7.992713	2	4.336243	1.150981	1	0.012147	18.131455	3	0.030021	10.134698	5	0.032283	35.326323	2	0.010927	1.323171	6	0.038802	17.418234000000002	1	0.169983	4.851139	1	0.0311	11.751425	4	72.822343
138	3	99.138771	14.174568	39.666464	54.850911	52.585881	0.534091	0.500204	0.707308	0.342363	0.609165	4.547837	3	0.029251	1.513883	5	59.618247	1.105698	6	0.017784	15.820388	4	56.443779	0.024357	1	0.017853	9.47032	3	0.011673	8.925102	6	0.016158	43.0387	6	0.010658	0.494245	6	0.021438	4.783433	3	0.074269	3.806166	5	0.01013	14.567246	3	19.415661
139	3	38.015062	96.932696000000007	99.227599	6.636919	52.615798	0.950766	0.578652	0.799697	0.363418	0.419561	0.509137	4	0.01208	0.305993	3	16.184918	3.607037	6	0.011013	1.702342	5	3.708389	0.480221	6	0.023399	7.07324	1	0.012424	8.541933	6	0.017528	17.636605	2	0.016386	0.86484	4	0.01037	0.380864	1	0.023675	12.754896	1	0.025869	6.676144	3	20.478007
147	3	46.844201	5.42253	22.141655	13.522804	40.968984	0.864208	0.610607	0.47565	0.380785	0.6146	4.025312	1	0.017199	1.248645	5	41.546162	3.695877	1	0.010228	9.920378	1	34.096484	1.272815	5	0.045157	7.267182	6	0.263818	12.371139	4	0.019954	51.284506	5	0.024618	0.085315	1	0.012417	14.71312	4	0.012277	6.673415	5	0.015678	4.605556	5	79.280489
152	3	56.021308	15.52338	66.761916	74.641592	44.275508	0.799379	0.573922	0.128728	0.222528	0.540152	6.21374	6	0.053564	1.140326	5	8.467664	2.110815	2	0.02166	11.793133	1	65.776482	0.413279	2	0.016446	14.651862	3	0.017884	4.580016	6	0.012015	49.745884	3	0.015634	1.102153	6	0.010878	1.868761	5	0.01421	4.454686	6	0.017558	15.641177	6	78.548334
156	3	23.90849	10.89966	80.595147	49.122122	17.689323	0.816666	0.557496	0.784194	0.530777	0.550516	5.253172	3	0.016282	0.8642	3	87.473482	1.355795	6	0.014181	3.560876	6	69.50242	0.865373	5	0.019596	15.932098	4	0.011129	7.146067	1	0.034908	5.984299	3	0.015925	0.063927	6	0.021715	3.09348	1	0.045307	6.641	5	0.44191	7.482547	4	70.602198
159	3	78.658216	67.122805	1.12917	80.732908	49.319651	0.523413	0.870899	0.3012	0.464115	0.741126	4.687784	6	0.012358	1.299123	3	89.31404	0.800827	2	0.019958	16.005616	2	34.384481	0.714662	5	0.020457	3.213114	5	0.0177	5.475455	5	0.010043	17.158204	4	0.01152	1.366762	4	0.024752	4.975921	2	0.012239	11.863319	3	0.010759	9.647344	4	93.481177
162	3	50.27462	74.880586	59.71929	96.314855	86.311575	0.149509	0.259439	0.141502	0.43081	0.354892	10.152282	3	0.010556	0.210223	2	94.458713	0.082057	5	0.01953	6.781049	5	84.915865	0.734283	1	0.019395	12.912826	1	0.45741	8.55385	3	0.010118	11.446709	5	0.036233	0.335474	5	0.014593	11.374076	5	0.015324	2.92132	4	0.015917	1.297445	3	50.655735
172	3	13.863785	82.905937	95.088208	20.270226	28.765883	0.201692	0.460364	0.478188	0.966049	0.750763	5.87935	1	0.013376	0.543365	5	85.114786	3.250297	6	0.293348	13.433405	3	4.31355	0.214479	5	0.045022	13.681345	5	0.027357	12.557793	5	0.01465	34.303259	5	0.024656	0.636159	5	0.015402	12.065806	2	0.017913	4.175521	4	0.019254	1.451628	1	51.687209
